mouse,behaviour,stimulus,n_deliv_day1,n_deliv_day2,rate_day1,rate_day2,rate_ratio,p_rate,rr_lo,rr_hi,p_day1,p_day2,delta,odds_ratio,ci_lo,ci_hi,p_fisher,min_detectable_delta,q_fisher,q_rate,change_index,change_index_lo,change_index_hi
F1,lickbite,Heat,23,15,1.3043478260869565,0.2,0.15333333333333335,0.00033237230708798763,0.05821201532250658,0.5318595097834187,0.782608695652174,0.2,-0.5826086956521739,12.012987012987013,2.6268172502211664,54.937912777161834,0.0006964695507520869,0.43,0.0027986006996501755,0.001454128843509946,0.15333333333333335,0.05821201532250658,0.5318595097834187
F1,lickbite,Light touch,22,13,0.09090909090909091,0.46153846153846156,5.076923076923077,0.5163179695393445,1.0232215804084472,18.920632999425127,0.09090909090909091,0.15384615384615385,0.06293706293706294,0.5609756097560976,0.08424260751824669,3.735563796183112,0.6176470588235293,0.43,0.7266435986159169,0.59444503071964,5.076923076923077,1.0232215804084472,18.920632999425127
F1,lickbite,Mild touch,26,13,0.0,0.6153846153846154,,0.003549901166018988,1.9623477228052906,589.0902955503888,0.0,0.3076923076923077,0.3076923076923077,0.039832285115303984,0.0019549013234076026,0.8116066619368972,0.008692903429745536,0.38,0.021732258574363842,0.009135775059607689,,1.9623477228052906,589.0902955503888
F1,lickbite,Pin prick,16,17,0.1875,0.17647058823529413,0.9411764705882354,0.9570173817594589,0.21390027954206528,4.141243530327995,0.1875,0.17647058823529413,-0.011029411764705871,1.0740740740740742,0.2048955544457642,5.630356987093375,1.0,0.43,1.0,0.968081166519684,0.9411764705882354,0.21390027954206528,4.141243530327995
F1,withdrawal,ALL,87,58,0.7816091954022989,1.0517241379310345,1.3455882352941175,0.02907884628013927,0.9544331161155593,1.9002297230734433,0.4942528735632184,0.7413793103448276,0.24712643678160923,0.34831460674157305,0.1704435915708283,0.7118077256610762,0.0034223181407009376,0.23,0.010098643693871619,0.05349404588499112,1.3455882352941175,0.9544331161155593,1.9002297230734433
F1,withdrawal,Heat,23,15,1.434782608695652,1.3333333333333333,0.9292929292929293,0.7433897654107118,0.5415687484927186,1.6256897471709701,0.7391304347826086,0.8666666666666667,0.12753623188405805,0.4985754985754986,0.09844437702606479,2.5250556231768524,0.4397665917190535,0.26,0.5574506092213355,0.8080323537072954,0.9292929292929293,0.5415687484927186,1.6256897471709701
F1,withdrawal,Light touch,22,13,0.3181818181818182,0.6153846153846154,1.9340659340659343,0.16901167084589497,0.7184469219772608,5.120110020872994,0.3181818181818182,0.5384615384615384,0.22027972027972026,0.41935483870967744,0.10709268170081587,1.6421148294755963,0.2882389450436072,0.3,0.3843185933914763,0.21908920294838236,1.9340659340659343,0.7184469219772608,5.120110020872994
F1,withdrawal,Mild touch,26,13,0.7307692307692307,0.7692307692307693,1.0526315789473686,0.6862664397625942,0.50857638922227,2.2804112384827997,0.46153846153846156,0.6153846153846154,0.15384615384615385,0.5578093306288032,0.15013032289708592,2.0725409985952483,0.50060341606504,0.37,0.6171822937788165,0.7506039184903374,1.0526315789473686,0.50857638922227,2.2804112384827997
F1,withdrawal,Pin prick,16,17,0.5625,1.3529411764705883,2.405228758169935,0.009069816685474954,1.0958440850431406,4.946316119453718,0.4375,0.8823529411764706,0.44485294117647056,0.1273344651952462,0.024614155736841573,0.6587293181984192,0.010436717125308314,0.39,0.025386609223722923,0.0200913660754192,2.405228758169935,1.0958440850431406,4.946316119453718
F2,attending,ALL,88,57,0.5795454545454546,0.19298245614035087,0.3329893360853113,0.0005625976979670794,0.18191717982341865,0.6533157690307527,0.45454545454545453,0.19298245614035087,-0.26156299840510366,3.376512774540565,1.5655762524256147,7.282199445074499,0.0013525450384419626,0.22,0.004508483461473208,0.002187879936538642,0.3329893360853113,0.18191717982341865,0.6533157690307527
F2,attending,Heat,20,13,0.75,0.46153846153846156,0.6153846153846154,0.21291096918948527,0.25816709831966994,1.6122623418701687,0.65,0.46153846153846156,-0.18846153846153846,2.076923076923077,0.5233424832608189,8.242421751390363,0.4720027083232578,0.33,0.5900033854040723,0.26805337847597066,0.6153846153846154,0.25816709831966994,1.6122623418701687
F2,attending,Light touch,17,18,0.23529411764705882,0.0,0.0,0.07162586135479938,0.005649555091588646,1.9491872667685106,0.17647058823529413,0.0,-0.17647058823529413,8.931034482758621,0.4263875428604613,187.06779376602643,0.10389610389610388,0.42,0.16728738852632655,0.10533214905117556,0.0,0.005649555091588646,1.9491872667685106
F2,attending,Mild touch,20,14,0.3,0.0,0.0,0.04962327610093221,0.006190323044708168,1.9507602696087938,0.25,0.0,-0.25,10.290322580645162,0.521443929409052,203.07214801357597,0.06291328848254843,0.44,0.10994555268794871,0.07753636890770657,0.0,0.006190323044708168,1.9507602696087938
F2,attending,Pin prick,31,12,0.8387096774193549,0.4166666666666667,0.4967948717948718,0.115719729944602,0.21401582692459578,1.3432245944979462,0.6129032258064516,0.4166666666666667,-0.19623655913978494,2.1272727272727274,0.5742177138769295,7.8807900676645435,0.3136930445495391,0.32,0.4151819707273312,0.1620076219224428,0.4967948717948718,0.21401582692459578,1.3432245944979462
F2,escape,ALL,88,57,0.7613636363636364,0.03508771929824561,0.046085362660382295,1.0953860173296747e-10,0.016181102188410634,0.20205983966791025,0.5681818181818182,0.03508771929824561,-0.5330940988835726,29.11948051948052,7.664504462963373,110.6326116478716,2.442564286557125e-12,0.22,4.3966157158028247e-10,6.189532458105198e-09,0.046085362660382295,0.016181102188410634,0.20205983966791025
F2,escape,Heat,20,13,0.95,0.15384615384615385,0.1619433198380567,0.002174574050065986,0.05286465017798697,0.7358998571865458,0.7,0.15384615384615385,-0.5461538461538461,10.261538461538462,1.968254373093511,53.498761662667675,0.003859360642259515,0.3,0.010854451806354887,0.006084710526733103,0.1619433198380567,0.05286465017798697,0.7358998571865458
