session,mouse,sex,day,phase,fps,nUsed,guardMin,session_s,period,kind,pos,stim_code,stimulus,n_del,dur_s,dur_min,truncated,uncertain_pct,behaviour,class,n_bouts,total_dur_s,rate_per_min,dur_pct_time,n_per_delivery,dur_s_per_delivery,base,delta
2,F2,F,Day1 no drug,Baseline (no injection),30.00003000003,50408,0.0,1680.2649864,block4_Light touch,stimulus,4,4,Light touch,17,279.0330543,4.650550905,1,0.0,flinch,reflexive,7,,1.505198016964831,,0.4117647058823529,,0.0,1.505198016964831
3,F3,F,Day1 no drug,Baseline (no injection),30.00003000003,50758,0.0,1691.9316414,block1_Heat,stimulus,1,1,Heat,15,299.9997,4.999994999999999,0,0.0,attending,affective,5,2.7999972,1.0000010000010002,0.9333333333333336,0.3333333333333333,0.18666648,0.0,1.0000010000010002
3,F3,F,Day1 no drug,Baseline (no injection),30.00003000003,50758,0.0,1691.9316414,block1_Heat,stimulus,1,1,Heat,15,299.9997,4.999994999999999,0,0.0,lickbite,affective,34,18.0666486,6.800006800006801,6.022222222222223,2.2666666666666666,1.20444324,0.0,6.800006800006801
3,F3,F,Day1 no drug,Baseline (no injection),30.00003000003,50758,0.0,1691.9316414,block1_Heat,stimulus,1,1,Heat,15,299.9997,4.999994999999999,0,0.0,guarding,affective,8,3.6333297,1.6000016000016002,1.2111111111111112,0.5333333333333333,0.24222198,0.0,1.6000016000016002
3,F3,F,Day1 no drug,Baseline (no injection),30.00003000003,50758,0.0,1691.9316414,block1_Heat,stimulus,1,1,Heat,15,299.9997,4.999994999999999,0,0.0,escape,affective,38,27.7999722,7.600007600007601,9.266666666666667,2.533333333333333,1.85333148,4.800004800004801,2.8000028000028
3,F3,F,Day1 no drug,Baseline (no injection),30.00003000003,50758,0.0,1691.9316414,block1_Heat,stimulus,1,1,Heat,15,299.9997,4.999994999999999,0,0.0,withdrawal,reflexive,35,,7.000007000007001,,2.333333333333333,,0.0,7.000007000007001
3,F3,F,Day1 no drug,Baseline (no injection),30.00003000003,50758,0.0,1691.9316414,block1_Heat,stimulus,1,1,Heat,15,299.9997,4.999994999999999,0,0.0,flinch,reflexive,2,,0.4000004000004,,0.1333333333333333,,0.0,0.4000004000004
3,F3,F,Day1 no drug,Baseline (no injection),30.00003000003,50758,0.0,1691.9316414,block2_Light touch,stimulus,2,2,Light touch,30,299.9997,4.999994999999999,0,0.0,attending,affective,4,0.6999993,0.8000008000008001,0.2333333333333334,0.1333333333333333,0.02333331,0.0,0.8000008000008001
3,F3,F,Day1 no drug,Baseline (no injection),30.00003000003,50758,0.0,1691.9316414,block2_Light touch,stimulus,2,2,Light touch,30,299.9997,4.999994999999999,0,0.0,lickbite,affective,8,6.333327,1.6000016000016002,2.111111111111111,0.2666666666666666,0.2111109,0.0,1.6000016000016002
3,F3,F,Day1 no drug,Baseline (no injection),30.00003000003,50758,0.0,1691.9316414,block2_Light touch,stimulus,2,2,Light touch,30,299.9997,4.999994999999999,0,0.0,guarding,affective,3,3.9333294,0.6000006000006001,1.3111111111111111,0.1,0.13111098,0.0,0.6000006000006001
3,F3,F,Day1 no drug,Baseline (no injection),30.00003000003,50758,0.0,1691.9316414,block2_Light touch,stimulus,2,2,Light touch,30,299.9997,4.999994999999999,0,0.0,escape,affective,5,4.9333284,1.0000010000010002,1.6444444444444446,0.1666666666666666,0.16444428,4.800004800004801,-3.8000038000038003
3,F3,F,Day1 no drug,Baseline (no injection),30.00003000003,50758,0.0,1691.9316414,block2_Light touch,stimulus,2,2,Light touch,30,299.9997,4.999994999999999,0,0.0,withdrawal,reflexive,16,,3.2000032000032004,,0.5333333333333333,,0.0,3.2000032000032004
3,F3,F,Day1 no drug,Baseline (no injection),30.00003000003,50758,0.0,1691.9316414,block2_Light touch,stimulus,2,2,Light touch,30,299.9997,4.999994999999999,0,0.0,flinch,reflexive,7,,1.4000014000014005,,0.2333333333333333,,0.0,1.4000014000014005
3,F3,F,Day1 no drug,Baseline (no injection),30.00003000003,50758,0.0,1691.9316414,block3_Pin prick,stimulus,3,3,Pin prick,21,299.9997,4.999994999999999,0,0.0,attending,affective,2,0.4666662,0.4000004000004,0.1555555555555555,0.0952380952380952,0.0222221999999999,0.0,0.4000004000004
3,F3,F,Day1 no drug,Baseline (no injection),30.00003000003,50758,0.0,1691.9316414,block3_Pin prick,stimulus,3,3,Pin prick,21,299.9997,4.999994999999999,0,0.0,lickbite,affective,8,1.7999982,1.6000016000016002,0.6000000000000001,0.3809523809523809,0.0857141999999999,0.0,1.6000016000016002
3,F3,F,Day1 no drug,Baseline (no injection),30.00003000003,50758,0.0,1691.9316414,block3_Pin prick,stimulus,3,3,Pin prick,21,299.9997,4.999994999999999,0,0.0,guarding,affective,12,7.2666594,2.4000024000024003,2.4222222222222225,0.5714285714285714,0.3460314,0.0,2.4000024000024003
3,F3,F,Day1 no drug,Baseline (no injection),30.00003000003,50758,0.0,1691.9316414,block3_Pin prick,stimulus,3,3,Pin prick,21,299.9997,4.999994999999999,0,0.0,escape,affective,26,22.2999777,5.200005200005201,7.4333333333333345,1.238095238095238,1.0619037,4.800004800004801,0.40000040000040027
3,F3,F,Day1 no drug,Baseline (no injection),30.00003000003,50758,0.0,1691.9316414,block3_Pin prick,stimulus,3,3,Pin prick,21,299.9997,4.999994999999999,0,0.0,withdrawal,reflexive,18,,3.6000036000036006,,0.8571428571428571,,0.0,3.6000036000036006
3,F3,F,Day1 no drug,Baseline (no injection),30.00003000003,50758,0.0,1691.9316414,block3_Pin prick,stimulus,3,3,Pin prick,21,299.9997,4.999994999999999,0,0.0,flinch,reflexive,15,,3.000003000003,,0.7142857142857143,,0.0,3.000003000003
3,F3,F,Day1 no drug,Baseline (no injection),30.00003000003,50758,0.0,1691.9316414,block4_Mild touch,stimulus,4,4,Mild touch,19,297.1997028,4.95332838,1,0.0,attending,affective,4,0.4666662,0.8075378196508748,0.1570210856886496,0.2105263157894736,0.0245613789473684,0.0,0.8075378196508748
