session,mouse,sex,day,phase,fps,nUsed,guardMin,session_s,period,kind,pos,stim_code,stimulus,n_del,dur_s,dur_min,truncated,uncertain_pct,behaviour,class,n_bouts,total_dur_s,rate_per_min,dur_pct_time,n_per_delivery,dur_s_per_delivery
8,F2,F,2,Post-treatment,30.00003000003,50621,0.0,1687.3649793,block3_Light touch,stimulus,3,3,Light touch,18,359.99964,5.999994,0,0.0,flinch,reflexive,0,,0.0,,0.0,
8,F2,F,2,Post-treatment,30.00003000003,50621,0.0,1687.3649793,block4_Mild touch,stimulus,4,4,Mild touch,14,294.1997058,4.90332843,0,0.0,attending,affective,2,4.0333293,0.40788619986444596,1.3709494674824383,0.14285714285714285,0.28809495
8,F2,F,2,Post-treatment,30.00003000003,50621,0.0,1687.3649793,block4_Mild touch,stimulus,4,4,Mild touch,14,294.1997058,4.90332843,0,0.0,lickbite,affective,1,0.19999979999999998,0.20394309993222298,0.06798096532970767,0.07142857142857142,0.014285699999999998
8,F2,F,2,Post-treatment,30.00003000003,50621,0.0,1687.3649793,block4_Mild touch,stimulus,4,4,Mild touch,14,294.1997058,4.90332843,0,0.0,guarding,affective,3,3.1666635,0.6118292997966689,1.0763652843870382,0.21428571428571427,0.22619024999999998
8,F2,F,2,Post-treatment,30.00003000003,50621,0.0,1687.3649793,block4_Mild touch,stimulus,4,4,Mild touch,14,294.1997058,4.90332843,0,0.0,escape,affective,0,0.0,0.0,0.0,0.0,0.0
8,F2,F,2,Post-treatment,30.00003000003,50621,0.0,1687.3649793,block4_Mild touch,stimulus,4,4,Mild touch,14,294.1997058,4.90332843,0,0.0,withdrawal,reflexive,9,,1.8354878993900068,,0.6428571428571429,
8,F2,F,2,Post-treatment,30.00003000003,50621,0.0,1687.3649793,block4_Mild touch,stimulus,4,4,Mild touch,14,294.1997058,4.90332843,0,0.0,flinch,reflexive,3,,0.6118292997966689,,0.21428571428571427,
9,F3,F,2,Post-treatment,30.00003000003,50426,0.0,1680.8649857999999,baseline,baseline,0,0,none,0,299.99969999999996,4.999994999999999,0,0.0,attending,affective,0,0.0,0.0,0.0,,
9,F3,F,2,Post-treatment,30.00003000003,50426,0.0,1680.8649857999999,baseline,baseline,0,0,none,0,299.99969999999996,4.999994999999999,0,0.0,lickbite,affective,0,0.0,0.0,0.0,,
9,F3,F,2,Post-treatment,30.00003000003,50426,0.0,1680.8649857999999,baseline,baseline,0,0,none,0,299.99969999999996,4.999994999999999,0,0.0,guarding,affective,0,0.0,0.0,0.0,,
9,F3,F,2,Post-treatment,30.00003000003,50426,0.0,1680.8649857999999,baseline,baseline,0,0,none,0,299.99969999999996,4.999994999999999,0,0.0,escape,affective,1,1.6666649999999998,0.20000020000020002,0.5555555555555556,,
9,F3,F,2,Post-treatment,30.00003000003,50426,0.0,1680.8649857999999,baseline,baseline,0,0,none,0,299.99969999999996,4.999994999999999,0,0.0,withdrawal,reflexive,0,,0.0,,,
9,F3,F,2,Post-treatment,30.00003000003,50426,0.0,1680.8649857999999,baseline,baseline,0,0,none,0,299.99969999999996,4.999994999999999,0,0.0,flinch,reflexive,0,,0.0,,,
9,F3,F,2,Post-treatment,30.00003000003,50426,0.0,1680.8649857999999,block1_Light touch,stimulus,1,1,Light touch,17,359.99964,5.999994,0,0.0,attending,affective,0,0.0,0.0,0.0,0.0,0.0
9,F3,F,2,Post-treatment,30.00003000003,50426,0.0,1680.8649857999999,block1_Light touch,stimulus,1,1,Light touch,17,359.99964,5.999994,0,0.0,lickbite,affective,0,0.0,0.0,0.0,0.0,0.0
9,F3,F,2,Post-treatment,30.00003000003,50426,0.0,1680.8649857999999,block1_Light touch,stimulus,1,1,Light touch,17,359.99964,5.999994,0,0.0,guarding,affective,1,0.999999,0.1666668333335,0.2777777777777778,0.058823529411764705,0.05882347058823529
9,F3,F,2,Post-treatment,30.00003000003,50426,0.0,1680.8649857999999,block1_Light touch,stimulus,1,1,Light touch,17,359.99964,5.999994,0,0.0,escape,affective,1,1.5999983999999998,0.1666668333335,0.44444444444444436,0.058823529411764705,0.09411755294117646
