Session,Day,Mouse ID,Sex,Phase,Treatment,Trial,Stim code,Stimulus,Rep,Obs window (s),Withdrawal (0/1),Flinch count,Attending count,Attending dur (s),Lick/bite count,Lick/bite dur (s),Guarding count,Guarding dur (s),Escape/rear count,Escape/rear dur (s),Scorer,Video file,Notes
,2,,,Baseline,BLIND,12,1,Light touch,12,1.33,1,0,0,0.00,0,0.00,0,0.00,0,0.00,,male3bottom001026_09_0313_01_11.avi,dual view; guard min 2.0s
,2,,,Baseline,BLIND,13,1,Light touch,13,2.83,1,0,0,0.00,0,0.00,0,0.00,0,0.00,,male3bottom001026_09_0313_01_11.avi,dual view; guard min 2.0s
,2,,,Baseline,BLIND,14,1,Light touch,14,30.00,0,0,0,0.00,0,0.00,0,0.00,0,0.00,,male3bottom001026_09_0313_01_11.avi,dual view; guard min 2.0s
,2,,,Baseline,BLIND,15,1,Light touch,15,0.23,0,0,0,0.00,0,0.00,0,0.00,0,0.00,,male3bottom001026_09_0313_01_11.avi,dual view; guard min 2.0s
,2,,,Baseline,BLIND,16,1,Light touch,16,2.03,1,1,0,0.00,0,0.00,0,0.00,0,0.00,,male3bottom001026_09_0313_01_11.avi,dual view; guard min 2.0s
,2,,,Baseline,BLIND,17,1,Light touch,17,30.00,1,1,0,0.00,0,0.00,0,0.00,0,0.00,,male3bottom001026_09_0313_01_11.avi,dual view; guard min 2.0s
,2,,,Baseline,BLIND,18,1,Light touch,18,0.27,1,1,0,0.00,0,0.00,0,0.00,0,0.00,,male3bottom001026_09_0313_01_11.avi,dual view; guard min 2.0s
,2,,,Baseline,BLIND,19,2,Mild touch,1,1.67,1,0,0,0.00,0,0.00,0,0.00,0,0.00,,male3bottom001026_09_0313_01_11.avi,dual view; guard min 2.0s
,2,,,Baseline,BLIND,20,1,Light touch,19,0.60,0,1,0,0.00,0,0.00,0,0.00,0,0.00,,male3bottom001026_09_0313_01_11.avi,dual view; guard min 2.0s
,2,,,Baseline,BLIND,21,2,Mild touch,2,0.80,1,0,0,0.00,0,0.00,0,0.00,0,0.00,,male3bottom001026_09_0313_01_11.avi,dual view; guard min 2.0s
,2,,,Baseline,BLIND,22,2,Mild touch,3,30.00,0,0,0,0.00,0,0.00,0,0.00,0,0.00,,male3bottom001026_09_0313_01_11.avi,dual view; guard min 2.0s
,2,,,Baseline,BLIND,23,2,Mild touch,4,0.90,0,0,0,0.00,0,0.00,0,0.00,0,0.00,,male3bottom001026_09_0313_01_11.avi,dual view; guard min 2.0s
,2,,,Baseline,BLIND,24,2,Mild touch,5,1.17,1,0,0,0.00,0,0.00,0,0.00,0,0.00,,male3bottom001026_09_0313_01_11.avi,dual view; guard min 2.0s
,2,,,Baseline,BLIND,25,2,Mild touch,6,4.03,1,1,0,0.00,0,0.00,0,0.00,0,0.00,,male3bottom001026_09_0313_01_11.avi,dual view; guard min 2.0s
,2,,,Baseline,BLIND,26,2,Mild touch,7,7.50,0,0,1,0.30,0,0.00,0,0.00,0,0.00,,male3bottom001026_09_0313_01_11.avi,dual view; guard min 2.0s
